Date and time (PDT),Metres
2023-01-01T03:33:00,3.6
2023-01-01T07:52:00,3.1
2023-01-01T13:42:00,4.5
2023-01-01T21:22:00,1.2
2023-01-02T04:51:00,4
2023-01-02T09:16:00,3.5
2023-01-02T14:16:00,4.3
2023-01-02T22:05:00,0.9
2023-01-03T05:48:00,4.3
2023-01-03T10:32:00,3.6
2023-01-03T14:52:00,4.2
2023-01-03T22:47:00,0.8
2023-01-04T06:32:00,4.6
2023-01-04T11:33:00,3.7
2023-01-04T15:29:00,4.1
2023-01-04T23:27:00,0.7
2023-01-05T07:10:00,4.7
2023-01-05T12:21:00,3.7
2023-01-05T16:07:00,4.1
2023-01-06T00:06:00,0.6
2023-01-06T07:45:00,4.7
2023-01-06T13:02:00,3.7
2023-01-06T16:46:00,4.1
2023-01-07T00:42:00,0.6
2023-01-07T08:18:00,4.7
2023-01-07T13:40:00,3.6
2023-01-07T17:26:00,4
2023-01-08T01:16:00,0.7
2023-01-08T08:49:00,4.7
2023-01-08T14:19:00,3.6
2023-01-08T18:06:00,4
2023-01-09T01:48:00,0.7
2023-01-09T09:19:00,4.7
2023-01-09T15:00:00,3.4
2023-01-09T18:49:00,3.9
2023-01-10T02:19:00,0.9
2023-01-10T09:47:00,4.7
2023-01-10T15:44:00,3.3
2023-01-10T19:38:00,3.7
2023-01-11T02:49:00,1.1
2023-01-11T10:13:00,4.7
2023-01-11T16:31:00,3.1
2023-01-11T20:33:00,3.5
2023-01-12T03:20:00,1.4
2023-01-12T10:38:00,4.7
2023-01-12T17:20:00,2.8
2023-01-12T21:39:00,3.3
2023-01-13T03:54:00,1.8
2023-01-13T11:05:00,4.6
2023-01-13T18:08:00,2.5
2023-01-13T22:57:00,3.2
2023-01-14T04:33:00,2.2
2023-01-14T11:33:00,4.6
2023-01-14T18:55:00,2.1
2023-01-15T00:38:00,3.2
2023-01-15T05:20:00,2.7
2023-01-15T12:02:00,4.5
2023-01-15T19:41:00,1.7
2023-01-16T02:41:00,3.5
2023-01-16T06:24:00,3.2
2023-01-16T12:35:00,4.5
2023-01-16T20:29:00,1.3
2023-01-17T04:11:00,3.9
2023-01-17T07:50:00,3.5
2023-01-17T13:12:00,4.4
2023-01-17T21:18:00,0.9
2023-01-18T05:14:00,4.2
2023-01-18T09:21:00,3.8
2023-01-18T13:56:00,4.4
2023-01-18T22:08:00,0.6
2023-01-19T06:03:00,4.5
2023-01-19T10:36:00,3.8
2023-01-19T14:48:00,4.5
2023-01-19T22:59:00,0.3
2023-01-20T06:48:00,4.7
2023-01-20T11:37:00,3.8
2023-01-20T15:47:00,4.5
2023-01-20T23:50:00,0.1
2023-01-21T07:28:00,4.9
2023-01-21T12:30:00,3.7
2023-01-21T16:50:00,4.5
2023-01-22T00:38:00,0
2023-01-22T08:06:00,4.9
2023-01-22T13:22:00,3.5
2023-01-22T17:54:00,4.5
2023-01-23T01:25:00,0.1
2023-01-23T08:43:00,5
2023-01-23T14:15:00,3.3
2023-01-23T18:57:00,4.3
2023-01-24T02:08:00,0.3
2023-01-24T09:18:00,5
2023-01-24T15:10:00,2.9
2023-01-24T20:00:00,4.1
2023-01-25T02:50:00,0.7
2023-01-25T09:51:00,5
2023-01-25T16:07:00,2.6
2023-01-25T21:06:00,3.8
2023-01-26T03:31:00,1.3
2023-01-26T10:24:00,5
2023-01-26T17:04:00,2.2
2023-01-26T22:22:00,3.6
2023-01-27T04:13:00,1.9
2023-01-27T10:57:00,4.8
2023-01-27T17:59:00,1.8
2023-01-27T23:56:00,3.5
2023-01-28T04:59:00,2.5
2023-01-28T11:28:00,4.6
